"","CNT","Gender","Mothereduc","HmwPC","Books","Cars","IMM","LEARNMINWEEK","ESCS","EMOSUPS","PV10MATH","PV10SCIE"
"328","FRA",0,3,0,1,3,1,1210,5.1505,4.4814,426.53,513.556
"329","FRA",1,1,1,1,3,1,1430,4.8233,4.087,407.629,464.709
"330","FRA",1,2,1,1,3,1,1650,5.4796,2.0554,569.732,666.258
"331","FRA",0,2,1,1,3,1,1815,5.2458,3.9497,477.185,512.149
"332","FRA",1,3,1,0,2,1,1750,4.4005,4.4814,428.021,408.054
"333","FRA",0,1,1,1,4,1,1320,7.6807,4.4814,552.638,550.372
"334","FRA",0,1,1,1,3,1,1760,6.7113,4.4814,567.93,623.803
"335","FRA",1,1,1,1,3,1,900,6.5726,4.4814,550.762,574.749
"336","FRA",1,2,1,1,3,1,1375,5.6429,2.7892,519.74,487.035
"337","FRA",1,1,1,0,3,1,2645,6.254,4.4814,294.564,350.804
"338","FRA",1,1,1,0,3,1,1100,5.971,4.4814,475.951,475.053
"339","FRA",0,2,1,1,3,1,1500,5.6232,3.6637,586.537,537.368
"340","FRA",0,1,1,1,1,1,1705,4.9001,2.3777,596.341,598.31
"341","FRA",0,1,1,1,3,1,1870,6.6975,4.4814,565.478,586.261
"342","FRA",1,1,1,1,4,1,1595,6.4503,4.4814,560.598,596.015
"343","FRA",1,1,1,1,3,1,1925,6.7784,3.6637,526.412,584.3
